league,player,team,season,pos,age,minutes,nineties,goals_per90,assists_per90,ga_per90,shots_per90,sot_per90,g_per_sh,crosses_per90,fouls_drawn_per90,fouls_committed_per90,offsides_per90,season_end_year,us_position,us_minutes,npxg,xg,xa,np_goals,goals_us,key_passes,shots_us,xg_chain,xg_buildup,npxg_per90,xa_per90,npxg_xa_per90,key_passes_per90,key_passes_per100,goals_minus_npxg,goals_minus_npxg_per90,npxg_per_shot,in_bundesliga,crosses_per90_z,fouls_drawn_per90_z,sot_per90_z,npxg_xa_per90_z,winger_score,likely_winger,side_review,sofifa_player_id,fc_overall,fc_potential,fc_age,fc_value_eur,fc_pos,fifa_edition,sofifa_update,sofifa_version_id
GER-Bundesliga,Léo Scienza,Heidenheim,2425,"MF,FW",25,1153,12.8,0.23,0.23,0.47,2.97,1.17,0.08,6.328125,4.921875,1.25,0.390625,2025,,,,,,,,,,,,,,,,,,,,True,2.420784222276483,5.4181807597988465,0.6707312697439977,,2.8365654172731087,True,,,,,,,,,,
GER-Bundesliga,Omar Marmoush,Eintracht Frankfurt,2425,"FW,MF",25,1448,16.1,0.81,0.56,1.37,4.79,2.24,0.17,4.84472049689441,3.416149068322981,0.5590062111801242,0.4347826086956521,2025,F M,1471.0,8.938476577401161,10.454029858112335,6.4370531141757965,13.0,15.0,33.0,77.0,15.567543163895609,4.923579152673483,0.5468816396778412,0.3938373761222445,0.9407190158000858,2.019034670292318,2.2433718558803535,4.061523422598839,0.2484956546797386,0.1160841113948202,True,1.5985586814570345,3.117384881857149,3.158568997332724,2.368770848471081,2.5608208522794973,True,,256675.0,79.0,81.0,25.0,22500000.0,ST,FC 25,"Aug 7, 2024",250001.0
ENG-Premier League,Harry Kane,Tottenham Hotspur,1819,FW,25,2424,26.9,0.48,0.15,0.63,3.79,1.71,0.13,,,,,2019,,,,,,,,,,,,,,,,,,,,False,,,1.926275543480364,,1.926275543480364,True,,202126.0,89.0,92.0,24.0,86000000.0,ST,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Matheus Cunha,Hertha BSC,2021,"MF,FW",21,2149,23.9,0.21,0.17,0.38,2.93,1.47,0.07,4.560669456066946,3.0962343096234313,1.9246861924686192,0.2092050209205021,2021,,,,,,,,,,,,,,,,,,,,True,1.4411140868264194,2.6285452181284095,1.3682558662642013,,1.8126383904063432,True,,,,,,,,,,
GER-Bundesliga,Mark Uth,Köln,1920,"MF,FW",27,1162,12.9,0.31,0.39,0.7,3.41,1.39,0.09,6.89922480620155,2.3255813953488373,1.627906976744186,0.2325581395348837,2020,,,,,,,,,,,,,,,,,,,,True,2.7373349985703896,1.4509636867325095,1.182249307192147,,1.7901826641650154,True,,,,,,,,,,
GER-Bundesliga,Daniel Didavi,Stuttgart,1819,"FW,MF",28,956,10.6,0.19,0.19,0.38,2.26,0.94,0.08,7.0754716981132075,2.9245283018867925,1.1320754716981132,0.5660377358490566,2019,,,,,,,,,,,,,,,,,,,,True,2.835025612099216,2.3661731180621772,0.1359624124118417,,1.7790537141910785,True,,193886.0,80.0,80.0,28.0,15000000.0,CAM,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Christopher Nkunku,RB Leipzig,2021,"MF,FW",22,1892,21.0,0.29,0.29,0.57,2.62,1.24,0.11,6.857142857142857,2.380952380952381,1.9047619047619049,0.7142857142857143,2021,,,,,,,,,,,,,,,,,,,,True,2.714009699738492,1.5355722683834292,0.8334870089320453,,1.6943563256846554,True,,232411.0,80.0,86.0,22.0,34000000.0,CAM,FIFA 21,"Aug 24, 2020",210001.0
ENG-Premier League,Matheus Cunha,Wolves,2425,MF,25,2597,28.9,0.52,0.21,0.73,3.81,1.52,0.14,4.948096885813149,2.456747404844291,1.4878892733564015,0.2768166089965398,2025,,,,,,,,,,,,,,,,,,,,False,1.6558584315310854,1.6513894133699485,1.484509965684235,,1.597252603528423,True,,,,,,,,,,
GER-Bundesliga,Sébastien Haller,Eintracht Frankfurt,1819,FW,24,2182,24.2,0.49,0.37,0.87,,,,,,,,2019,F S,2176.0,11.421543806791306,13.694875746965408,7.365843757987022,12.0,15.0,38.0,54.0,18.38963846862316,5.616492498666048,0.4723984111264786,0.3046534642549779,0.7770518753814566,1.5716911764705883,1.7463235294117647,0.5784561932086945,0.023925118285286,0.2115100704961353,True,,,,1.5905461832519403,1.5905461832519403,True,,205693.0,78.0,83.0,24.0,14000000.0,ST,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Matheus Cunha,Hertha BSC,1920,"FW,MF",20,744,8.3,0.73,0.0,0.73,4.23,1.81,0.17,0.6024096385542168,3.4939759036144573,3.012048192771084,0.2409638554216867,2020,,,,,,,,,,,,,,,,,,,,True,-0.752881085997071,3.236306697617101,2.1587837423204324,,1.547403117980154,True,,,,,,,,,,
GER-Bundesliga,Robert Lewandowski,Bayern Munich,2021,FW,31,2458,27.3,1.21,0.26,1.46,5.02,2.45,0.24,1.0622710622710625,1.0622710622710625,1.5018315018315018,0.7692307692307692,2021,F S,2467.0,25.25734955817461,32.0773394331336,4.815550094470382,33.0,41.0,32.0,135.0,31.7401881814003,5.689343376085162,0.9214274261190576,0.175678763073504,1.0971061891925615,1.1674098094852048,1.2971220105391164,7.74265044182539,0.2824639399125598,0.1870914782087008,True,-0.4979878272628615,-0.4794136453954019,3.6468362148968665,3.112379830375639,1.4454536431535607,True,,188545.0,91.0,91.0,31.0,111000000.0,ST,FIFA 21,"Aug 24, 2020",210001.0
GER-Bundesliga,Robert Lewandowski,Bayern Munich,1920,FW,30,2759,30.7,0.95,0.13,1.08,4.47,2.22,0.21,0.749185667752443,1.4006514657980456,1.0423452768729642,0.5863192182410424,2020,F,2763.0,27.40788171626627,31.196764163672924,7.271126873791218,29.0,34.0,36.0,138.0,39.65042235143483,9.743501517921686,0.8927648767513444,0.2368445235762611,1.1296094003276056,1.1726384364820848,1.3029315960912051,1.5921182837337255,0.0518605304147793,0.1986078385236686,True,-0.6715256635656397,0.037642095780563,3.1120673575647104,3.266930099534234,1.436278472328467,True,,188545.0,89.0,89.0,30.0,64500000.0,ST,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Nadiem Amiri,Mainz 05,2324,MF,26,1315,14.6,0.07,0.27,0.34,2.46,0.55,0.03,8.493150684931507,2.191780821917808,0.7534246575342466,0.0684931506849315,2024,,,,,,,,,,,,,,,,,,,,True,3.620820632408704,1.2465122647705602,-0.7708195630644227,,1.3655044447049471,True,,,,,,,,,,
GER-Bundesliga,Milot Rashica,Werder Bremen,1819,FW,22,1550,17.2,0.46,0.29,0.75,3.43,1.45,0.14,6.686046511627907,1.976744186046512,1.9186046511627908,0.4651162790697674,2019,F M S,1571.0,5.643187647685409,6.400966620072722,4.246430315077305,8.0,9.0,30.0,59.0,10.05634217336774,2.0659022964537144,0.3232889167992914,0.2432709919522326,0.566559908751524,1.7186505410566515,1.9096117122851688,2.3568123523145914,0.135017894149149,0.0956472482658543,True,2.619173945277224,0.9179296223317144,1.3217542264961877,0.5896730706472773,1.3621327161881007,True,,229167.0,76.0,83.0,22.0,11000000.0,RW,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Harry Kane,Bayern Munich,2324,FW,30,2839,31.5,0.98,0.25,1.24,4.63,2.12,0.21,0.9523809523809524,1.238095238095238,0.3174603174603174,0.4126984126984127,2024,F,2854.0,29.327461294829845,33.116344682872295,6.784328814595938,31.0,36.0,31.0,146.0,38.139976032078266,8.29485059529543,0.924832346368145,0.2139416935226469,1.138774039890792,0.9775753328661528,1.0861948142957254,1.6725387051701546,0.0527429864980076,0.2008730225673277,True,-0.5588980205688291,-0.2107488568915576,2.8795591587246423,3.310507255814182,1.3551048842696094,True,,,,,,,,,,
FRA-Ligue 1,Stevan Jovetić,Monaco,2021,FW,30,802,8.9,0.67,0.0,0.67,5.05,2.24,0.13,2.9213483146067416,1.5730337078651684,1.797752808988764,0.449438202247191,2021,,,,,,,,,,,,,,,,,,,,False,0.5324666415126263,0.3010475028566358,3.158568997332724,,1.3306943805673288,True,,,,,,,,,,
GER-Bundesliga,Rodrigo Zalazar,Schalke 04,2223,"MF,FW",22,1321,14.7,0.07,0.41,0.48,2.59,0.95,0.03,7.82312925170068,2.4489795918367347,1.4965986394557824,0.272108843537415,2023,F M S,1338.0,3.0480029303580523,3.0480029303580523,3.818176798522472,1.0,1.0,35.0,38.0,5.541506182402372,2.16299463622272,0.2050226186339497,0.2568280357750542,0.4618506544090038,2.3542600896860986,2.615844544095665,-2.0480029303580523,-0.1377580446429183,0.080210603430475,True,3.2494393037519016,1.6395199544117025,0.1592132322958485,0.0917886193296541,1.2849902774472768,True,,251377.0,73.0,80.0,22.0,6000000.0,CM,FIFA 23,"Sep 1, 2022",230001.0
GER-Bundesliga,Karim Bellarabi,Leverkusen,1920,"MF,FW",29,1424,15.8,0.25,0.38,0.63,3.48,1.64,0.07,6.962025316455696,0.8860759493670886,1.3924050632911391,0.3797468354430379,2020,,,,,,,,,,,,,,,,,,,,True,2.7721442386659594,-0.7486452372505201,1.7635198042923166,,1.2623396019025852,True,,202857.0,82.0,82.0,29.0,21500000.0,RW,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Amine Adli,Leverkusen,2324,"MF,FW",23,898,10.0,0.4,0.6,1.0,2.71,1.5,0.15,2.2,2.8,1.4,0.7,2024,,,,,,,,,,,,,,,,,,,,True,0.1326357074315889,2.175890014317591,1.4380083259162215,,1.248844682555134,True,,255223.0,77.0,84.0,23.0,21500000.0,ST,FC 24,"Aug 11, 2023",240001.0
GER-Bundesliga,Serge Gnabry,Bayern Munich,1920,"MF,FW",24,2193,24.4,0.49,0.41,0.9,3.9,1.68,0.13,2.9098360655737707,0.9836065573770492,0.6147540983606558,0.6557377049180328,2020,F M S,2221.0,14.172484152019024,14.172484152019024,12.498703610152006,12.0,12.0,54.0,95.0,33.750422574579716,12.32283779233694,0.5743014739674526,0.5064760580430799,1.0807775320105326,2.1882035119315626,2.4313372354795137,-2.172484152019024,-0.0880340268715498,0.1491840437054634,True,0.5260856003553657,-0.5996154462629003,1.8565230838283435,3.034738321295322,1.2044328898040328,True,,206113.0,84.0,87.0,23.0,39500000.0,RM,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Noah Weißhaupt,St Pauli,2425,"FW,MF",22,1160,12.9,0.08,0.0,0.08,1.4,0.31,0.06,5.5813953488372094,3.255813953488372,0.7751937984496123,0.4651162790697674,2025,,,,,,,,,,,,,,,,,,,,True,2.006884850939911,2.872387858467964,-1.3288392402805858,,1.1834778230424297,True,,,,,,,,,,
GER-Bundesliga,Erik Thommy,Düsseldorf,1920,"MF,FW",24,2259,25.1,0.24,0.16,0.4,2.43,0.84,0.1,5.776892430278884,2.3505976095617527,0.6772908366533864,0.2788844621513944,2020,,,,,,,,,,,,,,,,,,,,True,2.1152455126343312,1.489189237167626,-0.096545786428226,,1.169296321124577,True,,221797.0,72.0,75.0,24.0,3900000.0,LM,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Christopher Nkunku,RB Leipzig,1920,"MF,FW",21,1925,21.4,0.23,0.61,0.84,2.43,1.17,0.1,5.700934579439252,1.869158878504673,1.121495327102804,0.2803738317757009,2020,,,,,,,,,,,,,,,,,,,,True,2.0731433854968264,0.7535359389183848,0.6707312697439977,,1.165803531386403,True,,232411.0,77.0,85.0,21.0,13000000.0,CM,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Leon Bailey,Leverkusen,1819,"FW,MF",20,1914,21.3,0.24,0.05,0.28,2.68,0.85,0.09,7.746478873239436,1.596244131455399,0.9389671361502347,0.2816901408450704,2019,,,,,,,,,,,,,,,,,,,,True,3.206953320493547,0.3365137492685613,-0.0732949665442192,,1.156724034405963,True,,229906.0,82.0,89.0,20.0,31500000.0,LM,FIFA 19,"Aug 21, 2018",190002.0
ITA-Serie A,Nicolás González,Fiorentina,2223,"FW,MF",24,1354,15.0,0.27,0.07,0.33,3.99,1.26,0.07,2.066666666666667,3.6666666666666665,1.0666666666666669,0.2666666666666666,2023,F M S,1338.0,5.536081410944462,7.058677390217781,1.6205474324524405,4.0,6.0,20.0,60.0,9.070842418819666,3.887412182986736,0.3723821576868472,0.1090054326761731,0.4813875903630203,1.3452914798206277,1.4947683109118086,-1.5360814109444618,-0.1033238617227216,0.092268023515741,False,0.0587313395536816,3.50018353431779,0.879988648700059,0.1846852472253515,1.1558971924492203,True,,,,,,,,,,
GER-Bundesliga,Donyell Malen,Dortmund,2223,"MF,FW",23,1706,19.0,0.47,0.32,0.79,3.32,1.53,0.14,3.5789473684210527,2.0526315789473686,0.6842105263157895,0.1578947368421052,2023,,,,,,,,,,,,,,,,,,,,True,0.8969624594320507,1.0338879100259224,1.5077607855682422,,1.1462037183420717,True,,231447.0,79.0,85.0,23.0,28000000.0,ST,FIFA 23,"Sep 1, 2022",230001.0
GER-Bundesliga,Tiago Tomás,Stuttgart,2223,"FW,MF",20,1291,14.3,0.21,0.21,0.42,2.37,0.91,0.09,2.3776223776223775,3.4265734265734262,0.9090909090909092,0.2097902097902098,2023,,,,,,,,,,,,,,,,,,,,True,0.2310887289752344,3.133313624258563,0.0662099527598215,,1.1435374353312062,True,,,,,,,,,,
GER-Bundesliga,Loïs Openda,RB Leipzig,2324,FW,23,2697,30.0,0.73,0.23,0.97,4.04,2.07,0.18,1.0666666666666669,2.1333333333333333,1.2666666666666666,1.1,2024,,,,,,,,,,,,,,,,,,,,True,-0.4955514195306228,1.1572026912405151,2.763305059304608,,1.1416521103381667,True,,243580.0,82.0,86.0,23.0,44000000.0,ST,FC 24,"Aug 11, 2023",240001.0
GER-Bundesliga,Leon Bailey,Leverkusen,2021,"FW,MF",22,2141,23.8,0.38,0.34,0.71,2.44,0.88,0.16,6.5966386554621845,1.8487394957983192,1.0084033613445378,0.6302521008403361,2021,,,,,,,,,,,,,,,,,,,,True,2.569616712077875,0.7223344894563518,-0.0035425068921988,,1.0961362315473426,True,,229906.0,80.0,85.0,22.0,32500000.0,LM,FIFA 21,"Aug 24, 2020",210001.0
GER-Bundesliga,Kingsley Coman,Bayern Munich,1819,"MF,FW",22,1378,15.3,0.39,0.26,0.65,2.02,1.24,0.19,3.660130718954248,2.679738562091503,1.1111111111111112,0.196078431372549,2019,F M S,1404.0,4.4566447623074055,4.4566447623074055,4.450503762811422,6.0,6.0,28.0,31.0,13.87202325463295,6.537648890167475,0.285682356558167,0.2852887027443219,0.5709710593024889,1.794871794871795,1.9943019943019944,1.5433552376925943,0.0989330280572176,0.1437627342679808,True,0.9419609909572986,1.9921268109389811,0.8334870089320453,0.6106477522600635,1.094555640772097,True,,213345.0,83.0,87.0,22.0,34000000.0,LM,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Robert Lewandowski,Bayern Munich,1819,FW,29,2957,32.9,0.58,0.21,0.79,4.38,1.55,0.13,0.303951367781155,1.4285714285714286,0.790273556231003,0.8814589665653496,2019,F,2959.0,30.112291682511568,33.143249057233334,9.613416269421576,19.0,22.0,47.0,144.0,41.92331736534834,8.940881442278624,0.9158858571902808,0.2923986023142757,1.2082844595045563,1.4295370057451842,1.5883744508279822,-11.112291682511568,-0.3379879186975468,0.2091131366841081,True,-0.918311359792694,0.0803046639876068,1.5542624253362558,3.6410239551027503,1.0893199211584796,True,,188545.0,90.0,90.0,29.0,77000000.0,ST,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Breel Embolo,Gladbach,2021,"FW,MF",23,1440,16.0,0.31,0.12,0.44,2.56,1.31,0.12,0.3125,3.4375,2.125,0.6875,2021,,,,,,,,,,,,,,,,,,,,True,-0.9135730003400356,3.1500097670100446,0.996242748120093,,1.077559838263367,True,,222357.0,78.0,84.0,23.0,22500000.0,ST,FIFA 21,"Aug 24, 2020",210001.0
GER-Bundesliga,Nicolás González,Stuttgart,2021,"FW,MF",22,934,10.4,0.29,0.19,0.48,4.72,1.25,0.06,1.25,3.173076923076923,1.25,0.673076923076923,2021,,,,,,,,,,,,,,,,,,,,True,-0.3939329136985003,2.7459631124241852,0.8567378288160521,,1.0695893425139122,True,,240690.0,75.0,83.0,22.0,12500000.0,ST,FIFA 21,"Aug 24, 2020",210001.0
ENG-Premier League,Erling Haaland,Manchester City,2324,"FW,MF",23,2552,28.4,0.71,0.18,0.88,4.27,2.08,0.17,0.176056338028169,1.0563380281690142,0.6338028169014085,0.2112676056338028,2024,F S,2581.0,25.564646281301975,31.65399668365717,4.7517555598169565,20.0,27.0,29.0,122.0,30.19725350290537,3.128645434975624,0.8914444654464075,0.1656946921284487,1.0571391575748563,1.0112359550561798,1.1235955056179776,-5.564646281301975,-0.1940403585111111,0.2095462809942785,False,-0.9892013697573484,-0.4884795053361124,2.786555879188615,2.9223396688567473,1.0578036682379754,True,,,,,,,,,,
ESP-La Liga,Robert Lewandowski,Barcelona,2223,FW,33,2847,31.6,0.73,0.22,0.95,4.27,1.83,0.17,0.6329113924050632,1.4556962025316456,1.2341772151898731,0.6962025316455696,2023,F S,2862.0,25.196005009114742,25.93928100913763,6.353777157142758,23.0,23.0,36.0,135.0,36.746243976056576,9.871428990736604,0.7923272015444888,0.1998043131176968,0.9921315146621856,1.1320754716981132,1.257861635220126,-2.1960050091147423,-0.0690567612929164,0.1866370741415906,False,-0.7359744897157134,0.1217521590495131,2.2052853820884457,2.613233326477955,1.05107409447505,True,,,,,,,,,,
FRA-Ligue 1,Loïs Openda,Lens,2223,FW,22,2517,28.0,0.72,0.14,0.86,3.72,1.82,0.19,1.1071428571428572,1.6785714285714286,1.5,0.7857142857142857,2023,F M S,2564.0,18.228005489334464,18.988100608810782,5.77396771684289,20.0,21.0,24.0,103.0,24.04535267688334,3.765678361058235,0.6398285858190725,0.2026743738361389,0.8425029596552114,0.842433697347894,0.93603744149766,1.771994510665536,0.0621994953041724,0.1769709270809171,False,-0.4731161649962581,0.4623124101415102,2.182034562204439,1.901761055198068,1.01824796563694,True,,203106.0,77.0,79.0,25.0,11000000.0,CAM,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Andrej Kramarić,Hoffenheim,2021,"FW,MF",29,2379,26.4,0.57,0.19,0.76,3.63,1.66,0.16,3.484848484848485,1.590909090909091,0.1893939393939394,0.3409090909090909,2021,,,,,,,,,,,,,,,,,,,,True,0.844805070618695,0.3283616420096222,1.8100214440603304,,0.9943960522295492,True,,216354.0,82.0,82.0,29.0,30500000.0,ST,FIFA 21,"Aug 24, 2020",210001.0
GER-Bundesliga,Marcus Thuram,Gladbach,1920,"MF,FW",21,2202,24.5,0.41,0.33,0.74,2.29,1.55,0.18,1.3877551020408163,2.489795918367347,2.122448979591837,0.8163265306122449,2020,,,,,,,,,,,,,,,,,,,,True,-0.3175776356613768,1.7018885660286664,1.5542624253362558,,0.979524451901182,True,,228093.0,75.0,81.0,21.0,9000000.0,LM,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Christian Pulisic,Dortmund,1819,"MF,FW",19,932,10.4,0.39,0.39,0.77,2.61,0.97,0.15,3.75,2.5,0.8653846153846153,0.673076923076923,2019,,,,,,,,,,,,,,,,,,,,True,0.9917739840122606,1.717480718932907,0.2057148720638621,,0.97165652500301,True,,227796.0,79.0,88.0,19.0,19000000.0,RM,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Antonio Nusa,RB Leipzig,2526,"FW,MF",20,2027,22.5,0.18,0.13,0.31,2.71,0.89,0.07,3.022222222222222,2.844444444444445,0.4,0.0444444444444444,2026,,,,,,,,,,,,,,,,,,,,True,0.5883793093453501,2.2438025025227297,0.0197083129918079,,0.9506300416199626,True,,262863.0,76.0,88.0,20.0,18000000.0,LM,FC 26,"Aug 7, 2025",260001.0
GER-Bundesliga,Thorgan Hazard,Gladbach,1819,"FW,MF",25,2873,31.9,0.22,0.34,0.56,2.41,0.81,0.09,5.736677115987461,1.974921630094044,0.8463949843260189,0.5015673981191223,2019,,,,,,,,,,,,,,,,,,,,True,2.092954857271439,0.9151447003651476,-0.1662982460802462,,0.9472671038521135,True,,203486.0,81.0,83.0,25.0,21500000.0,LM,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Matheus Pereira,Nürnberg,1819,"MF,FW",22,1232,13.7,0.22,0.15,0.37,2.12,0.73,0.1,1.8248175182481752,3.5036496350364965,2.1167883211678835,0.072992700729927,2019,,,,,,,,,,,,,,,,,,,,True,-0.0753214737139093,3.251088458966826,-0.3523048051523006,,0.9411540600335389,True,,,,,,,,,,
GER-Bundesliga,Serge Gnabry,Bayern Munich,2021,MF,25,1644,18.3,0.55,0.11,0.66,3.23,1.48,0.17,3.66120218579235,1.2021857923497268,1.2021857923497268,0.3825136612021858,2021,M S,1653.0,7.765031499788165,7.765031499788165,6.910004418343306,10.0,10.0,38.0,59.0,19.873918997123837,8.74215896986425,0.422778484561969,0.3762252859352072,0.7990037704971762,2.068965517241379,2.2988505747126435,2.234968500211835,0.1216861252383939,0.1316107033862401,True,0.9425548865525888,-0.2656196026310723,1.3915066861482082,1.694925756229511,0.9408419315748088,True,,206113.0,85.0,87.0,24.0,70000000.0,RM,FIFA 21,"Aug 24, 2020",210001.0
FRA-Ligue 1,Mathias Pereira Lage,Brest,2324,"MF,FW",26,1187,13.2,0.23,0.15,0.38,2.73,1.21,0.08,5.075757575757576,1.590909090909091,1.4393939393939394,0.4545454545454546,2024,,,,,,,,,,,,,,,,,,,,False,1.7266185509800884,0.3283616420096222,0.7637345492800249,,0.9395715807565784,True,,,,,,,,,,
GER-Bundesliga,Karim Onisiwo,Mainz 05,1819,"FW,MF",26,1161,12.9,0.54,0.23,0.78,3.02,1.32,0.18,1.7054263565891472,2.558139534883721,1.7054263565891472,0.2325581395348837,2019,F M S,1136.0,4.853994380682707,4.853994380682707,3.4238012190908194,7.0,7.0,21.0,39.0,9.384746996685864,2.397985400632024,0.3845594139625384,0.2712518571462797,0.6558112711088181,1.6637323943661972,1.8485915492957743,2.146005619317293,0.170018050826194,0.1244613943764796,True,-0.1414979362085555,1.806319729666373,1.0194935680040995,1.0140564344257252,0.9245929489719108,True,,229071.0,72.0,72.0,26.0,3300000.0,RM,FIFA 19,"Aug 21, 2018",190002.0
ENG-Premier League,Erling Haaland,Manchester City,2223,"FW,MF",22,2769,30.8,0.94,0.26,1.2,4.0,1.95,0.24,0.422077922077922,0.7792207792207793,1.0064935064935066,0.2597402597402597,2023,F S,2803.0,27.433209866285324,32.761399537324905,5.8491098545491695,29.0,36.0,29.0,123.0,31.963398084044456,3.285816218703985,0.8808379907119797,0.1878058818799234,1.068643872591903,0.9311452015697468,1.0346057795219408,1.566790133714676,0.0503072108577669,0.2230342265551652,False,-0.8528358473559602,-0.911923248100454,2.484295220696527,2.9770437039470043,0.9241449572967794,True,,,,,,,,,,
GER-Bundesliga,Harry Kane,Bayern Munich,2526,"FW,MF",32,2377,26.4,0.98,0.19,1.17,4.51,2.54,0.22,0.4545454545454546,1.2121212121212122,0.946969696969697,0.7575757575757576,2026,,,,,,,,,,,,,,,,,,,,True,-0.834839653879197,-0.2504379733750801,3.8560935938529273,,0.92360532219955,True,,202126.0,89.0,89.0,31.0,87000000.0,ST,FC 26,"Aug 7, 2025",260001.0
GER-Bundesliga,Leon Bailey,Leverkusen,1920,"MF,FW",21,1090,12.1,0.41,0.25,0.66,2.39,0.91,0.17,6.528925619834711,1.487603305785124,1.322314049586777,0.4958677685950413,2020,,,,,,,,,,,,,,,,,,,,True,2.5320845438643045,0.170507201450158,0.0662099527598215,,0.9229338993580948,True,,229906.0,82.0,88.0,21.0,30500000.0,LW,FIFA 20,"Aug 20, 2019",200001.0
ENG-Premier League,Sadio Mané,Liverpool,2021,FW,28,2810,31.2,0.35,0.22,0.58,3.01,1.15,0.12,1.9230769230769231,2.5,1.7307692307692308,0.9935897435897436,2021,F M S,2805.0,14.828551573678851,14.828551573678851,7.787754092365503,11.0,11.0,61.0,94.0,24.998916164040565,6.057659732177854,0.475782403433546,0.2498744628566471,0.7256568662901932,1.9572192513368984,2.1746880570409983,-3.828551573678851,-0.1228412269629577,0.1577505486561579,False,-0.0208579796994493,1.717480718932907,0.6242296299759841,1.3461668677602736,0.9167548092424288,True,,208722.0,90.0,90.0,28.0,120500000.0,LW,FIFA 21,"Aug 24, 2020",210001.0
GER-Bundesliga,Marco Richter,Mainz 05,2324,MF,25,717,8.0,0.13,0.0,0.13,4.77,1.13,0.03,4.625,2.125,1.25,0.5,2024,M S,679.0,2.0621123649179935,2.0621123649179935,1.9792995369061828,1.0,1.0,12.0,38.0,3.9209891632199287,1.1464222418144343,0.2733285903425912,0.262351926835871,0.5356805171784622,1.5905743740795288,1.7673048600883652,-1.0621123649179935,-0.1407807258359638,0.0542661148662629,True,1.4767713982110269,1.144469099702052,0.5777279902079705,0.4428439386196156,0.9104531066851664,True,,,,,,,,,,
GER-Bundesliga,Andrej Kramarić,Hoffenheim,2324,"MF,FW",32,2199,24.4,0.41,0.25,0.65,2.82,1.39,0.14,4.59016393442623,1.4344262295081969,0.3278688524590164,0.3278688524590164,2024,,,,,,,,,,,,,,,,,,,,True,1.4574623676691558,0.0892509812277452,1.182249307192147,,0.9096542186963492,True,,216354.0,81.0,81.0,32.0,21000000.0,CF,FC 24,"Aug 11, 2023",240001.0
GER-Bundesliga,Nadiem Amiri,Leverkusen,1920,MF,22,1857,20.6,0.05,0.1,0.15,2.04,0.87,0.02,5.485436893203883,1.8932038834951457,1.3106796116504853,0.145631067961165,2020,,,,,,,,,,,,,,,,,,,,True,1.953696733394002,0.7902774515690636,-0.0267933267762056,,0.9057269527289534,True,,225309.0,78.0,85.0,22.0,14500000.0,CAM,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Kingsley Coman,Bayern Munich,2223,MF,26,1409,15.7,0.51,0.32,0.83,3.13,1.15,0.16,4.840764331210191,1.337579617834395,0.5732484076433121,0.3184713375796179,2023,M S,1422.0,6.010770929977298,6.010770929977298,5.7907725758850574,8.0,8.0,41.0,49.0,18.71786822378635,8.904668807983398,0.3804285398719808,0.3665045934104466,0.7469331332824275,2.5949367088607596,2.8832630098452885,1.9892290700227024,0.1259005740520697,0.1226687944893326,True,1.596365847026191,-0.0587336421648601,0.6242296299759841,1.4473338809725351,0.9022989289524626,True,,213345.0,86.0,87.0,26.0,80000000.0,LM,FIFA 23,"Sep 1, 2022",230001.0
GER-Bundesliga,Florian Wirtz,Leverkusen,2425,MF,21,2351,26.1,0.31,0.46,0.77,2.99,1.49,0.1,3.908045977011494,1.4942528735632183,0.842911877394636,0.421455938697318,2025,,,,,,,,,,,,,,,,,,,,True,1.079376144212366,0.1806679470493875,1.4147575060322148,,0.8916005324313229,True,,256630.0,88.0,92.0,21.0,133500000.0,CAM,FC 25,"Aug 7, 2024",250001.0
ENG-Premier League,Matheus Pereira,West Brom,2021,MF,24,2577,28.6,0.24,0.21,0.45,2.27,0.98,0.11,5.0,1.818181818181818,1.2237762237762235,0.4895104895104895,2021,,,,,,,,,,,,,,,,,,,,False,1.684627432867641,0.6756414112404432,0.2289656919478689,,0.8630781786853178,True,,,,,,,,,,
